Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2221430,54,03.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3.41,,,13,4.27,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,Първа Частна Математическа Гимназия,2221563,19,5.17,14,4.75,,,,,,,,,,,2,05.03,1,4.64,,,,,,,,,,,,,2,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"Частна профилирана гимназия ""Образователни технологии""",2221590,36,4.3,5,4.15,,,,,2,3.23,,,,,1,3.88,,,,,,,,,,,,,12,5.76,14,4.91,,,,,,,,,,,1,6,,,,,1,4.41,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",2222007,151,4.27,,,,,,,,,,,,,4,4.36,,,3,4.9,,,,,,,,,,,115,4.75,,,,,,,,,,,,,,,4,4.63,,,,,1,2,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2222009,193,4.98,17,3.77,17,5.23,,,13,4.54,,,4,3.81,7,5.28,,,4,4.49,,,,,,,,,54,5.86,,,,,,,,,,,,,,,,,,,,,,,,,78,4.93,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"12 Средно училище "" Цар Иван Асен II""",2222012,76,4.45,,,,,,,18,4.1,,,,,5,4.15,,,3,3.59,,,,,,,,,27,5.63,10,05.02,,,3,3.82,,,,,,,2,4.22,,,,,,,,,,,6,4.11,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",2222127,129,4.53,,,7,4.98,,,11,3.83,,,,,3,3.51,,,,,,,,,,,,,,,107,4.69,,,,,,,,,1,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,133 Средно училище „Александър Сергеевич Пушкин”,2222133,102,4.96,,,8,4.56,,,4,3.85,,,,,2,4.69,,,,,,,,,,,,,33,5.78,21,4.93,,,6,4.79,12,05.09,,,,,,,,,,,,,,,,,16,4.85,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2223055,23,3.5,,,,,,,,,,,,,,,,,6,2.77,,,,,,,2,3.74,,,18,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,2223431,175,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,4.78,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"ЧАСТНА ЕЗИКОВА ГИМНАЗИЯ ""ПРОФ.Д-Р В.ЗЛАТАРСКИ""",2223547,38,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"22 Средно езиково училище ""Георги Стойков Раковски""",2224022,170,4.79,2,3.65,3,5.2,,,6,4.22,,,1,3.74,,,,,,,,,,,,,,,69,5.8,76,4.89,,,,,,,,,1,4.88,,,,,2,5.36,10,5.23,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"47 Средно училище ""Христо Груев Данов""",2224047,18,3.69,,,,,,,3,2.4,,,,,3,2.84,,,,,,,,,2,3.13,,,,,12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2224073,145,5.23,25,3.96,4,5.56,,,6,4.65,,,6,4.42,1,5.54,,,1,4.43,,,,,,,,,37,5.9,,,,,3,05.03,,,,,,,58,5.12,,,,,,,,,2,5.17,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2224121,20,3.54,,,,,,,,,,,,,,,1,2,9,2.5,,,,,,,,,,,10,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"Професионална гимназия по дизайн ""Елисавета Вазова""",2224432,91,04.04,,,,,,,,,,,1,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,5.29,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,2224433,272,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,5.7,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"ЧСУ по изкуства и чужди езици ""Артис""",2224544,5,3.93,,,,,,,,,,,,,,,,,,,,,1,3.65,,,,,,,4,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,ЧАСТНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО БАНКОВО ДЕЛО ТЪРГОВИЯ И ФИНАНСИ,2224545,13,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5.16,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"Национално музикално училище ""Любомир Пипков""",2902101,73,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4.66,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,Национално училище за танцово изкуство,2902301,58,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,4.97,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"Национално училище за изящни изкуства ""Илия Петров""",2902401,53,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5.14,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,"НАЦИОНАЛНА ГИМНАЗИЯ ЗА ПРИЛОЖНИ ИЗКУСТВА ""СВЕТИ ЛУКА"" - СОФИЯ",2902501,97,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4.93,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,Национална професионална гимназия по полиграфия и фотография,2902601,101,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,5.3,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия,2902701,54,4.6,,,9,04.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4.88,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,ГР.СОФИЯ,Национална гимназия за древни езици и култури Константин Кирил Философ,2902702,78,05.06,,,21,5.3,,,,,,,57,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,С.БИСТРИЦА,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2218192,18,2.9,,,,,,,,,,,,,10,2.35,,,,,,,,,,,8,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ГРАД,СТОЛИЧНА,С.КАЗИЧЕНЕ,"71 Средно училище ""Пейо Яворов""",2218071,16,3.38,,,,,,,,,,,12,3.13,,,,,,,,,,,1,3.94,3,05.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЧУЖБИНА,ЧУЖБИНА,Братислава,"Българско средно училище ""Христо Ботев""",2900001,9,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЧУЖБИНА,ЧУЖБИНА,Прага,"Българско средно училище ""Д-р Петър Берон""",2900102,15,4.26,,,2,4.28,,,2,4.54,,,11,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,БОЖУРИЩЕ,ГР.БОЖУРИЩЕ,"Средно училище ""Летец Христо Топракчиев""",2308970,21,04.05,,,11,3.88,,,,,,,,,,,,,,,,,,,,,,,,,10,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,БОТЕВГРАД,ГР.БОТЕВГРАД,"Профилирана природо-математическа гимназия ""Акад.проф.д-р Асен Златаров""",2300099,98,04.04,4,04.05,,,,,14,3.3,,,16,3.39,3,2.87,,,,,,,,,,,,,19,5.68,43,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,БОТЕВГРАД,ГР.БОТЕВГРАД,"Професионална гимназия по техника и мениджмънт ""Христо Ботев""",2300284,66,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3.12,,,28,4.9,,
СОФИЯ-ОБЛАСТ,БОТЕВГРАД,ГР.БОТЕВГРАД,"Техническа професионална гимназия ""Стамен Панчев""",2301044,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.74,,,,,,
СОФИЯ-ОБЛАСТ,ГОДЕЧ,ГР.ГОДЕЧ,"Средно училище ""Проф. д-р Асен Златаров""",2300163,22,3.14,,,2,2.94,,,,,,,14,3.27,,,,,,,,,,,,,6,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ГОРНА МАЛИНА,С.ГОРНА МАЛИНА,"Средно училище ""Христо Ботев""",2309225,18,03.07,,,,,,,3,2.34,,,,,,,,,,,,,,,3,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.23,,,,,,
СОФИЯ-ОБЛАСТ,ДОЛНА БАНЯ,ГР.ДОЛНА БАНЯ,"Професионална гимназия ""Христо Ботев""",2303582,12,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.42,,,,,,
СОФИЯ-ОБЛАСТ,ДОЛНА БАНЯ,ГР.ДОЛНА БАНЯ,"Средно училище ""Неофит Рилски""",2306213,10,03.01,,,,,,,,,,,,,,,,,,,,,,,9,2.99,2,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ДРАГОМАН,ГР.ДРАГОМАН,"Средно училище ""Христо Ботев""",2300214,9,2.73,,,,,,,7,2.43,,,,,,,,,,,,,,,,,2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ЕЛИН ПЕЛИН,ГР.ЕЛИН ПЕЛИН,"Средно училище ""Васил Левски""",2300170,66,3.58,,,,,,,10,3.47,,,,,,,,,2,2,,,,,7,2.93,,,,,27,04.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5.29,,
СОФИЯ-ОБЛАСТ,ЕЛИН ПЕЛИН,С.ЕЛИН ПЕЛИН (ГАРА ЕЛИН П,Професионална гимназия по керамика,2300274,32,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4.37,,,3,5.94,,
СОФИЯ-ОБЛАСТ,ЕТРОПОЛЕ,ГР.ЕТРОПОЛЕ,"Средно училище ""Христо Ясенов""",2300195,62,3.6,4,3.71,11,4.72,,,23,2.96,,,5,3.92,1,5.54,,,,,,,,,,,,,,,16,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ЕТРОПОЛЕ,ГР.ЕТРОПОЛЕ,"Професионална гимназия ""Тодор Пеев""",2300327,11,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.89,,,,,,
СОФИЯ-ОБЛАСТ,ЗЛАТИЦА,ГР.ЗЛАТИЦА,"Професионална гимназия "" Златица""",2300302,22,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.41,,,15,4.74,,
СОФИЯ-ОБЛАСТ,ЗЛАТИЦА,ГР.ЗЛАТИЦА,"Средно училище ""Свети Паисий Хилендарски""",2308792,21,4.33,,,,,,,12,4.28,,,,,,,,,,,,,,,,,,,,,9,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ИХТИМАН,ГР.ИХТИМАН,"Средно училище ""Христо Ботев""",2300188,48,3.19,,,,,,,7,3.43,,,,,,,,,,,,,,,1,2,,,,,16,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.28,,
СОФИЯ-ОБЛАСТ,ИХТИМАН,ГР.ИХТИМАН,"Професионална гимназия ""Васил Левски""",2300417,28,02.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3.5,,,,,,
СОФИЯ-ОБЛАСТ,КОПРИВЩИЦА,ГР.КОПРИВЩИЦА,"Средно училище ""Любен Каравелов""",2306331,21,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,04.01,,,7,5.15,,
СОФИЯ-ОБЛАСТ,КОСТЕНЕЦ,ГР.КОСТЕНЕЦ,"Средно училище ""Св. Климент Охридски""",2303490,64,4.21,,,,,,,,,2,3.75,11,04.02,14,4.13,,,8,2.64,,,,,12,4.59,,,,,23,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,КОСТЕНЕЦ,ГР.КОСТЕНЕЦ,"Професионална гимназия ""Георги Сава Раковски""",2304717,22,03.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5.22,,
СОФИЯ-ОБЛАСТ,КОСТИНБРОД,ГР.КОСТИНБРОД,"Средно училище ""Д-р Петър Берон""",2309638,20,3.69,,,,,,,,,,,4,3.58,,,,,,,,,,,9,3.65,,,,,8,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,КОСТИНБРОД,ГР.КОСТИНБРОД,"Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""",2309735,51,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,36,4.95,,
СОФИЯ-ОБЛАСТ,ПИРДОП,ГР.ПИРДОП,"Средно училище ""Саво Ценов Савов""",2300105,23,04.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.1,,,9,5.61,,
СОФИЯ-ОБЛАСТ,ПИРДОП,ГР.ПИРДОП,"Професионална гимназия по туризъм и хранителни технологии ""Никола Димов""",2300448,13,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,04.03,,,7,4.76,,
СОФИЯ-ОБЛАСТ,ПИРДОП,ГР.ПИРДОП,Професионална гимназия по механаноелектротехника,2302504,31,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,04.05,,,16,4.51,,
СОФИЯ-ОБЛАСТ,ПРАВЕЦ,ГР.ПРАВЕЦ,"Профилирана гимназия с преподаване на чужди езици ""Алеко Константинов""",2304770,74,3.98,,,7,4.28,,,,,,,8,3.9,9,3.68,,,,,,,,,,,,,3,5.47,25,4.27,,,,,,,,,,,7,4.46,,,1,4.5,,,,,,,,,,,,,,,,,,,14,4.25,,
СОФИЯ-ОБЛАСТ,ПРАВЕЦ,ГР.ПРАВЕЦ,Национална професионална гимназия по компютърни технологии и системи,2309991,142,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,4.87,,
СОФИЯ-ОБЛАСТ,САМОКОВ,ГР.САМОКОВ,"Профилирана гимназия ""КОНСТАНТИН ФОТИНОВ""",2300131,58,4.51,2,3.61,2,4.91,,,2,3.57,,,18,4.22,,,,,,,,,,,,,,,,,21,4.79,,,,,,,,,,,13,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,САМОКОВ,ГР.САМОКОВ,"Професионална техническа гимназия ""Никола Й. Вапцаров""",2300291,70,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4.37,,
СОФИЯ-ОБЛАСТ,САМОКОВ,ГР.САМОКОВ,Професионална гимназия по туризъм,2300505,23,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.23,,,18,4.71,,
СОФИЯ-ОБЛАСТ,САМОКОВ,ГР.САМОКОВ,"Средно училище ""Отец Паисий""",2303106,49,3.72,,,9,3.33,,,,,,,,,,,,,,,,,,,,,,,,,21,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4.26,,
СОФИЯ-ОБЛАСТ,САМОКОВ,ГР.САМОКОВ,"Спортно училище ""Никола Велчев""",2304610,15,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5.54,,,,,,
СОФИЯ-ОБЛАСТ,СВОГЕ,ГР.СВОГЕ,"Професионална гимназия ""Велизар Пеев""",2303022,92,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,5.34,,
СОФИЯ-ОБЛАСТ,СВОГЕ,ГР.СВОГЕ,"Средно училище ""Иван Вазов""",2308867,11,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,СЛИВНИЦА,ГР.СЛИВНИЦА,"Професионална гимназия по транспорт ""Никола Йонков Вапцаров""",2300455,28,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4.45,,,,,,
СОФИЯ-ОБЛАСТ,СЛИВНИЦА,ГР.СЛИВНИЦА,"Средно училище Св.Св. Кирил и Методий""",2306517,26,04.01,,,,,,,5,4.42,,,,,11,4.38,,,,,,,,,,,,,,,12,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОФИЯ-ОБЛАСТ,ЧЕЛОПЕЧ,С.ЧЕЛОПЕЧ,"Частна профилирана гимназия с чуждоезиково обучение ""ЧЕЛОПЕЧ""",2303852,20,4.58,2,4.34,4,4.57,,,4,4.74,,,,,,,,,,,,,,,,,,,,,10,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СТАРА ЗАГОРА,ГУРКОВО,ГР.ГУРКОВО,"Средно училище ""Христо Смирненски""",2406129,20,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4.47,,,,,,
СТАРА ЗАГОРА,ГЪЛЪБОВО,ГР.ГЪЛЪБОВО,"Средно училище ""Васил Левски""",2404107,23,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.7,,
СТАРА ЗАГОРА,ГЪЛЪБОВО,ГР.ГЪЛЪБОВО,Професионална гимназия по енергетика и електротехника,2404108,30,03.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,05.01,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"Профилирана гимназия "" Академик Петко Стайнов""",2400261,3,2.76,,,,,,,,,,,,,,,,,,,,,,,,,1,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,05.09,,,,,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"Профилирана природо-математическа гимназия ""Никола Обрешков""",2400262,103,4.76,56,2.77,,,,,,,,,,,9,5.2,17,3.88,11,4.86,,,,,,,,,,,16,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"Профилирана хуманитарна гимназия ""Св. Св. Кирил и Методий""",2400263,48,3.88,,,9,4.21,,,20,3.77,,,9,4.31,,,,,,,,,,,,,,,,,6,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"Средно училище ""Екзарх Антим I""",2400264,80,4.26,,,4,4.69,,,3,3.79,,,,,16,3.76,1,4.94,3,3.67,,,,,17,4.56,,,,,35,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ИВАН ХАДЖИЕНОВ""",2400265,89,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.49,,,34,4.86,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ,2400266,43,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.68,,,,,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,Професионална гимназия по лека промишленост и туризъм,2400268,45,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4.34,,
СТАРА ЗАГОРА,КАЗАНЛЪК,ГР.КАЗАНЛЪК,"Национално училище по пластични изкуства и дизайн ""Академик Дечко Узунов""",2902505,46,04.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,05.09,,,,
СТАРА ЗАГОРА,МЪГЛИЖ,ГР.МЪГЛИЖ,"Професионална гимназия по селско стопанство ""Гео Милев""",2405117,20,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3.27,,,,,1,3.12
СТАРА ЗАГОРА,НИКОЛАЕВО,ГР.НИКОЛАЕВО,"Професионална гимназия ""Атанас Дамянов""",2407132,7,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.89,,,,,,
СТАРА ЗАГОРА,ОПАН,С.ОПАН,"Средно училище ""Христо Ботев""",2400837,12,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.35,,,,,,
СТАРА ЗАГОРА,ПАВЕЛ БАНЯ,ГР.ПАВЕЛ БАНЯ,"Средно училище ""Христо Ботев""",2409139,12,2.49,,,,,,,12,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
