Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БУРГАС,РУЕН,С.ПРОСЕНИК,"Обединено училище ""Св. Св. Кирил и Методий""",200918,14,34.71,14,35.07
БУРГАС,РУЕН,С.РАЗБОЙНА,"Основно Училище ""Д-р Петър Берон""",200919,1,14,1,21
БУРГАС,РУЕН,С.РЕЧИЦА,"Основно училище ""Антон Симеонович Макаренко""",200920,11,46.09,11,50.27
БУРГАС,РУЕН,С.РУЕН,"Средно училище ""Елин Пелин""",200932,38,32.97,38,37.53
БУРГАС,РУЕН,С.РЪЖИЦА,"Основно училище ""Иван Вазов""",200922,9,39.22,9,57.78
БУРГАС,РУЕН,С.СИНИ РИД,"Основно училище ""Реджеб Кюпчу""",200923,7,36.71,7,38.93
БУРГАС,РУЕН,С.СКАЛАК,"Основно училище "" Йордан Йовков""",200924,2,55,2,77.5
БУРГАС,РУЕН,С.СНЯГОВО,"Основно училище "" Димчо Дебелянов""",200926,11,49.36,11,64.36
БУРГАС,РУЕН,С.СТРУЯ,"Основно училище ""Иван Вазов""",200927,3,52.67,3,51.33
БУРГАС,РУЕН,С.ТОПЧИЙСКО,"Основно училище "" Реджеб Кюпчю""",200928,9,58.67,9,62.72
БУРГАС,РУЕН,С.ТРЪНАК,"Средно училище "" Димитър Полянов""",200929,22,39.86,22,41.32
БУРГАС,РУЕН,С.ЧЕРЕША,"Основно училище ""Христо Ботев""",200930,1,58,1,41
БУРГАС,РУЕН,С.ЯБЪЛЧЕВО,"Начално училище "" д-р Петър Берон""",200904,9,67.22,9,72.5
БУРГАС,СОЗОПОЛ,ГР.СОЗОПОЛ,"Средно училище ""Св. св. Кирил и Методий""",201009,19,84.11,19,66.37
БУРГАС,СОЗОПОЛ,С.ЗИДАРОВО,"Основно училище ""Христо Ботев""",201003,13,31,13,32.69
БУРГАС,СОЗОПОЛ,С.КРУШЕВЕЦ,"Основно училище ""Пейо Крачолов Яворов""",201005,6,16.17,6,31.08
БУРГАС,СОЗОПОЛ,С.РАВНА ГОРА,"Основно училище ""Отец Паисий""",201006,7,62.43,7,46.93
БУРГАС,СОЗОПОЛ,С.РОСЕН,"Обединено училище ""Христо Ботев""",201007,13,68.08,13,49.81
БУРГАС,СОЗОПОЛ,С.ЧЕРНОМОРЕЦ,"Основно училище ""Христо Ботев""",201008,14,83.86,14,69.93
БУРГАС,СРЕДЕЦ,ГР.СРЕДЕЦ,"Средно училище ""Свети Свети Кирил и Методий""",201104,76,44.16,77,37.97
БУРГАС,СРЕДЕЦ,С.ДЕБЕЛТ,"Основно училище ""Антон Страшимиров""",201101,20,40.85,20,43.2
