ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"72 Основно училище "" Христо Ботев """;2217072;24;53,63;24;33,2
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"149 Средно училище ,,Иван Хаджийски""";2217149;49;57,6;49;31,69
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.БАНКЯ;"78. Средно училище ""Христо Смирненски""";2201078;76;55,45;76;31,29
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"95 СУ ""Проф. Иван Шишманов""";2219095;49;51,29;49;31,29
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.НОВИ ИСКЪР;"171 ОСНОВНО УЧИЛИЩЕ ""СТОИЛ ПОПОВ""";2215171;29;57,4;29;30,72
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"83. Основно училище ""Елин Пелин""";2218083;25;56,68;25;30,62
СОФИЯ-ГРАД;СТОЛИЧНА;С.БИСТРИЦА;"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""";2218192;25;55,7;25;30,45
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;Национално училище за танцово изкуство;2902301;48;63,44;48;30,26
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Джани РоДари"" ЕООД";2221614;12;51,5;12;30,04
СОФИЯ-ГРАД;СТОЛИЧНА;С.ВЛАДАЯ;"86 Основно училище ""Св. Климент Охридски""";2202086;12;63,46;12;30,04
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"156-о обединено училище ""Васил Левски""";2210156;11;59,14;11;29,91
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"102. oсновно училище"" Панайот Волов""";2214102;44;51,39;44;29,55
СОФИЯ-ГРАД;СТОЛИЧНА;С.МРАМОР;"175 основно училище ""Васил Левски""";2203175;24;51,6;24;29,52
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧАСТНО ОСНОВНО УЧИЛИЩЕ ""СВЕТЛИНА""";2204595;4;49,13;4;29,5
СОФИЯ-ГРАД;СТОЛИЧНА;С.ДОЛНИ ПАСАРЕЛ;"202 ОСНОВНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""";2218202;11;50,64;11;28,95
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"82. основно училище ""Васил Евстатиев Априлов""";2213082;24;61,35;24;28,71
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"74 СУ ""ГОЦЕ ДЕЛЧЕВ""";2203074;80;55,26;80;28,23
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧСУ ""Рьорих"" с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство";2202535;11;59,41;11;28,09
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"3. СУ ""Марин Дринов""";2206003;15;39,17;15;28,05
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"132. Средно училище ""Ваня Войнова""";2209132;49;49,09;49;27,9
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"58 Основно училище ""Сергей Румянцев""";2220058;37;62,73;37;27,85
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"27. Средно училище ""Акад. Георги Караславов""";2212027;10;38,25;10;27,5
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"77 Основно училище Св. Св. Кирил и Методий""";2212077;27;55,5;28;27,48
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;199 Основно Училище Свети Апостол Йоан Богослов;2219199;42;62,27;42;27,14
СОФИЯ-ГРАД;СТОЛИЧНА;С.МЪРЧАЕВО;"152 ОСНОВНО УЧИЛИЩЕ ""СВ.СВ. КИРИЛ И МЕТОДИЙ""";2202152;4;71,25;4;26,81
СОФИЯ-ГРАД;СТОЛИЧНА;С.ВОЛУЯК;"146 Основно училище ""Патриарх Евтимий""";2203146;25;58,36;25;26,32
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"85 Средно училище ""Отец Паисий""";2210085;33;53,39;33;26,1
