"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 036","Професионална гимназия по механоелектротехника ""Стойчо и Кица Марчеви""","59","3,10","1","2,57","0","0,00","0","0,00","5","2,87","0","0,00","0","0,00","4","3,77","2","4,07","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 027","СПОРТНО УЧИЛИЩЕ  ""СТЕФАН  КАРАДЖА""","44","3,03","0","0,00","0","0,00","0","0,00","2","3,95","0","0,00","0","0,00","34","3,24","8","3,06","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 025","Средно училище   "" Васил Левски""","16","3,57","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,34","9","4,12","4","4,23","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 026","Средно  училище   ""Св.Паисий Хилендарски""","30","3,63","0","0,00","0","0,00","0","0,00","5","2,59","0","0,00","1","4,01","24","3,88","1","4,84","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 031","Финансово-стопанска гимназия   ""Атанас Буров""","127","3,97","0","0,00","0","0,00","0","0,00","3","3,73","0","0,00","21","4,32","26","3,98","26","4,27","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 904","Професионална гимназия по транспорт и аграрни технологии ""Н.Й.Вапцаров""","44","2,95","0","0,00","0","0,00","0","0,00","1","2,18","0","0,00","0","0,00","6","3,06","1","2,90","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","ВЕЛИКИ ПРЕСЛАВ","ГР.ВЕЛИКИ ПРЕСЛАВ","2 700 282","ПРОФЕСИОНАЛНА      ГИМНАЗИЯ     ПО  СЕЛСКО  СТОПАНСТВО","48","2,91","0","0,00","0","0,00","0","0,00","1","2,26","0","0,00","0","0,00","46","3,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","ВЕЛИКИ ПРЕСЛАВ","ГР.ВЕЛИКИ ПРЕСЛАВ","2 700 024","Професионална техническа гимназия   ""Симеон Велики""","33","3,52","0","0,00","0","0,00","0","0,00","1","2,31","0","0,00","18","3,67","15","3,31","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","ВЕЛИКИ ПРЕСЛАВ","ГР.ВЕЛИКИ ПРЕСЛАВ","2 700 103","СРЕДНО  УЧИЛИЩЕ ""ЧЕРНОРИЗЕЦ ХРАБЪР""","6","3,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","2","2,87","5","3,29","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ШУМЕН","ВЕНЕЦ","С.ВЕНЕЦ","2 700 069","Средно  училище  ""Никола Йонков Вапцаров""","19","3,04","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","8","3,48","9","3,58","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
