"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"Стара Загора","Раднево","Сърнево","2401060","Основно училище ""Свети свети Кирил и Методий""","6","6","6","6","61,67","65","75,83","71,67"
"Стара Загора","Чирпан","Чирпан","2401178","Средно училище ""Пейо Крачолов Яворов""","69","69","69","69","94,57","91,81","96,45","96,3"
"Стара Загора","Чирпан","Чирпан","2401181","Основно училище ""Васил Левски""","38","38","38","37","85,39","85","89,74","92,43"
"Стара Загора","Чирпан","Чирпан","2401182","Основно училище ""Свети свети Кирил и Методий""","60","60","58","59","56,33","56,58","56,03","58,64"
"Стара Загора","Чирпан","Гита","2401184","Основно училище "" Васил Левски""","8","8","8","8","54,38","58,75","70,63","63,75"
"Стара Загора","Чирпан","Зетьово","2401185","Основно училище "" Отец Паисий ""","6","6","7","7","62,5","62,5","62,86","60,71"
"Стара Загора","Чирпан","Свобода","2401186","Основно училище ""Кирил и Методий""","17","17","17","17","61,76","50,88","67,06","61,76"
"Стара Загора","Чирпан","Чирпан","2401189","Начално училище ""Свети Климент Охридски""","25","25","24","24","77,2","61","84,79","80,21"
"Стара Загора","Братя Даскалови","Братя Даскалови","2403098","СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""","5","5","5","5","41","41","50","56"
"Стара Загора","Братя Даскалови","Гранит","2403099","Основно училище ""Пейо Крачолов Яворов""","7","7","7","7","62,86","46,43","66,43","60,71"
"Стара Загора","Братя Даскалови","Мирово","2403100","Основно училище ""Д-р Петър Берон""","2","2","2","2","35","42,5","37,5","35"
"Стара Загора","Братя Даскалови","Оризово","2403102","Основно училище ""Христо Ботев""","12","12","12","11","64,17","65,83","64,58","65,45"
"Стара Загора","Братя Даскалови","Партизанин","2403103","Основно училище ""Георги Сава Раковски""","4","4","4","4","62,5","63,75","62,5","62,5"
"Стара Загора","Братя Даскалови","Черна гора","2403105","Основно училище ""Свети свети Кирил и Методий""","22","24","24","24","54,32","48,13","52,5","52,71"
"Стара Загора","Стара Загора","Стара Загора","2403219","ШЕСТО ОСНОВНО УЧИЛИЩЕ ""СВЕТИ НИКОЛА""","122","124","124","124","91,39","93,19","91,73","91,73"
"Стара Загора","Гълъбово","Гълъбово","2404107","Средно училище ""Васил Левски""","41","42","43","43","79,27","70,12","93,49","89,3"
"Стара Загора","Гълъбово","Гълъбово","2404109","Първо Основно Училище ""Свети Паисий Хилендарски""","26","25","25","25","61,15","69,8","67,4","72,2"
"Стара Загора","Гълъбово","Гълъбово","2404110","Второ основно училище"" Христо Ботев""","38","37","37","38","73,68","67,97","78,38","76,05"
"Стара Загора","Гълъбово","Обручище","2404113","Основно училище ""Свети Свети Кирил и Методий""","5","6","6","6","72","50","68,33","66,67"
