Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
СОФИЯ-ОБЛАСТ;КОСТИНБРОД;ГР.КОСТИНБРОД;2309638;СУ Д-р Петър Берон;77;57.42;77;38.66
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.ДОГАНОВО;2309684;ОУ Св.Св.Кирил и Методий;4;25.63;4;16.00
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.ЛЕСНОВО;2309691;ОУ Христо Ботев;11;34.36;11;17.98
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;С.НОВАЧЕНЕ;2309766;ОУ В.Левски;9;7.89;8;16.50
СОФИЯ-ОБЛАСТ;ПРАВЕЦ;ГР.ПРАВЕЦ;2309862;ОУ Васил Левски;55;54.25;56;35.81
СОФИЯ-ОБЛАСТ;СВОГЕ;С.РЕБРОВО;2309912;ОУ Д-р Петър Берон;14;54.68;14;35.77
СОФИЯ-ОБЛАСТ;СВОГЕ;С.ВЛАДО ТРИЧКОВ;2309928;ОУ Елин Пелин;6;50.42;6;44.50
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400014;СУ ЖЕЛЕЗНИК;70;56.64;70;37.84
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400102;ППМГ Гео Милев;54;81.60;54;81.82
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400104;СУ Васил Левски .Стара Загора;122;59.45;122;39.13
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400105;СУ Христо Смирненски;35;13.40;38;14.03
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400106;СУ Максим Горки;41;66.37;41;42.49
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400107;СУ Иван Вазов;71;55.57;70;34.95
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400108;СУ Т.Каблешков;29;33.91;30;20.40
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400109;ОУ Георги Райчев;16;42.34;17;19.81
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400122;І ОУ Георги Бакалов .СЗ;16;14.97;18;13.17
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400123;ІІ ОУ – Стара Загора;137;71.69;137;55.15
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400125;ОУ Кирил Христов;105;64.65;105;46.71
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400126;V ОУ М. Станев;139;67.85;139;49.56
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400129;ОУ Самара;23;40.09;23;26.35
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400130;Девето ОУ В.Ханчев Ст.Загора;51;57.54;51;34.00
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400132;ХІ ОУ Николай Лилиев;26;41.83;26;23.45
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400133;XII ОУ Стефан Караджа;24;7.19;30;11.41
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400134;XIII ОУ Св.П.ХИЛЕНДАРСКИ;22;42.39;22;20.39
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.БРАТЯ КУНЧЕВИ;2400138;ОУ Христо Ботев;19;13.87;20;12.06
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ГОРНО БОТЕВО;2400139;ОУ с.Горно Ботево;6;13.17;6;16.00
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ДЪЛБОКИ;2400140;ОУ Иван Мирчев;11;20.50;11;14.68
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ЗАГОРЕ;2400141;ОУ Хр.Ботев Загоре;7;11.79;7;11.64
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.КАЛОЯНОВЕЦ;2400142;ОУ От. Паисий . Калояновец;13;8.27;14;10.21
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ПРЕСЛАВЕН;2400143;ОУ Преславен;13;33.69;13;14.90
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ХАН АСПАРУХОВО;2400144;ОУ Св.св. Кирил и Методий;15;9.10;15;16.20
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.ХРИЩЕНИ;2400145;ОУ – с. Хрищени;9;8.11;9;12.11
СТАРА ЗАГОРА;СТАРА ЗАГОРА;С.КИРИЛОВО;2400161;ЧСУ Нов век;7;35.71;7;26.93
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400167;ЧОУ Елин Пелин;19;66.08;19;44.63
СТАРА ЗАГОРА;СТАРА ЗАГОРА;ГР.СТАРА ЗАГОРА;2400174;СУ Христо Ботев;15;19.67;16;13.16
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400262;ППМГ Н. Обрешков;56;77.72;56;70.25
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400264;СУ Е. Антим І Казанлък;105;51.42;105;35.75
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400271;ОУ КУЛАТА;40;48.73;39;29.54
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400272;ОУ Георги Кирков . Казанлък;51;56.35;51;30.27
СТАРА ЗАГОРА;КАЗАНЛЪК;ГР.КАЗАНЛЪК;2400273;ОУ СВ. П. ХИЛЕНДАРСКИ;43;52.49;43;30.23
