"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","109 037","Средно училище  ""Свети Климент Охридски""","30","4,15","0","0,00","1","2,88","2","5,41","0","0,00","2","4,55","15","4,21","9","5,32","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","29","4,61","59","4,38"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","103 133","Средно училище ""Св. Св. Кирил и Методий""","24","3,71","0","0,00","0","0,00","0","0,00","19","3,23","0","0,00","4","4,10","2","4,07","2","3,91","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","27","3,47","51","3,59"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","109 102","Средно училище ""Св.св.Кирил и Методий""","14","3,35","0","0,00","0","0,00","0","0,00","11","3,14","0","0,00","0","0,00","1","3,90","1","4,12","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","13","3,27","27","3,31"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","108 100","Средно училище  ""Св. Паисий Хилендарски""","6","3,20","0","0,00","1","3,17","0","0,00","0","0,00","0","0,00","0","0,00","5","3,06","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","6","3,08","12","3,14"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","108 001","Средно училище  ""Никола Йонков Вапцаров""","23","4,35","2","4,06","0","0,00","0","0,00","1","4,12","0","0,00","0","0,00","12","4,87","7","5,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","22","4,81","45","4,57"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","108 004","Средно училище Св. Паисий Хилендарски""","30","4,21","0","0,00","0","0,00","0","0,00","1","5,41","0","0,00","2","5,60","22","3,90","4","5,71","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","29","4,32","59","4,26"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","102 011","Професионална гимназия  ""Петко Рачов Славейков""","43","3,63","0","0,00","0","0,00","0","0,00","1","2,68","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","2,68","44","3,61"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","107 090","Средно училище ""Свети Свети Кирил и Методий""","26","3,94","0","0,00","3","3,61","0","0,00","1","2,75","0","0,00","17","3,79","0","0,00","5","5,31","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","26","4,02","52","3,98"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 114","Професионална гимназия  по селско стопанство ""Златна нива""","49","2,88","0","0,00","0","0,00","0","0,00","8","2,97","0","0,00","1","3,67","29","3,38","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","38","3,30","87","3,06"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 112","Средно училище  ""Христо Ботев""","77","4,22","2","5,27","5","4,71","0","0,00","25","4,01","0","0,00","1","5,64","33","4,66","9","5,23","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","75","4,55","152","4,38"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 113","Средно училище  ""Никола Йонков Вапцаров""","48","3,76","0","0,00","0","0,00","0","0,00","35","3,80","0","0,00","0","0,00","4","4,68","8","5,52","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","47","4,17","95","3,96"
"БУРГАС","БУРГАС","ГР.БУРГАС","2 902 103","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","51","4,49","0","0,00","2","3,62","0","0,00","2","3,21","0","0,00","1","4,90","6","4,80","20","4,68","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","31","4,54","82","4,51"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","125","3,68","0","0,00","1","4,24","0","0,00","15","3,08","0","0,00","4","4,02","14","3,07","24","4,37","2","3,76","0","0,00","0","0,00","0","0,00","0","0,00","60","3,70","185","3,69"
