"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2203070","70-о основно училище Свети Климент Охридски","22.03","12.38","15","15"
"София","2219024","24 Средно училище П.К.Яворов","28.29","12.25","7","8"
"София","2215177","177 Основно училище Св.Св.Кирил и Методий","19.33","12","6","6"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","10.44","11.8","18","15"
"София","2208147","147 Основно училище Йордан Радичков","15.75","11.67","12","12"
"София","2212037","37. Средно училище Райна Княгиня","17.45","11.59","19","19"
"София","2207089","89 ОУ Д-р Христо Стамболски","18.87","11.36","15","14"
"София","2212103","103 Основно училище Васил Левски","9.89","11.09","35","34"
"София","2208123","123 Средно училищe Стефан Стамболов","29.34","10.93","54","54"
"София","2208075","75.Основно училище Тодор Каблешков ","13.96","10.49","68","68"
"София","2221094","94 СРЕДНО УЧИЛИЩЕ Димитър Страшимиров","18.58","10.29","53","51"
"София","2220059","59 ОБЕДИНЕНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","19.09","9.56","16","16"
"София","2210116","116 Основно училище Паисий Хилендарски","25.79","9.43","7","7"
"София","2204136","136 ОСНОВНО УЧИЛИЩЕ ЛЮБЕН КАРАВЕЛОВ","20.3","9.35","46","44"
